(X,Z,SeedCount)
-3507,-9640,4967
-5893,819,2696
-2393,-53,2603
-1934,-5288,2516
-5762,3729,2430
8962,2475,2391
-7854,2074,2365
-6055,8181,2018
5263,6257,1992
-2718,1202,1980
-2881,-5086,1980
-8649,7329,1913
9389,7511,1897
9352,7688,1816
-5761,8377,1707
-3081,8379,1643
-5762,3730,1613
-2881,-5570,1601
-9326,4398,1559
539,-7510,1539
4149,2276,1437
-7854,-7794,1401
9519,4313,1397
945,-1893,1394
2091,-6446,1361
4249,7892,1361
-6845,-5287,1354
8372,9066,1348
-9689,3239,1308
2944,-144,1291
1631,-8089,1272
7948,-5271,1255
5648,8562,1242
3503,4881,1239
1892,49,1218
3791,6538,1218
8472,4027,1196
-9688,8379,1195
-5762,2658,1166
5232,491,1162
390,7310,1161
-3503,-3156,1147
2091,-7984,1146
64,333,1144
-3765,8562,1130
-9196,-4112,1124
-5762,-2862,1122
1043,8562,1113
3103,-3645,1106
-725,-8684,1095
-5600,-2658,1093
-8379,7651,1092
-3274,-4804,1090
8895,-240,1083
3467,-7353,1081
4346,-147,1076
-3831,-9531,1074
6538,4115,1054
-3508,4032,1053
7848,8273,1051
-2519,3349,1046
-7854,-7795,1043
-7953,-6056,1021
-6249,-4891,1005
625,50,979
-3702,-3533,976
6245,-9918,967
3925,2177,964
4577,-4021,955
-5204,7215,953
-6708,-7511,951
9519,1588,951
5003,2655,947
-9067,-8484,936
3791,-2759,926
3631,-9350,925
3792,8379,920
-8383,-7511,908
9618,-2173,896
-3566,-3629,884
585,8283,880
-1881,2314,875
5427,-5184,873
679,-7575,872
-2588,7105,864
579,8298,854
-2,8378,846
3202,2468,837
-2950,-132,831
-6646,-4702,831
-2000,-9594,830
555,143,827
6050,-3834,821
912,-5671,817
6114,-8381,816
538,8562,816
8342,8864,815
-686,-1405,812
-7334,-7895,809
8962,-7310,809
1500,3532,804
1632,4499,804
-2619,9533,798
-7072,9056,796
5425,434,794
7129,-4020,793
-7428,-7510,792
-5433,-8285,790
8306,-3048,789
7031,51,782
-5138,6246,781
-6890,1487,769
4002,-7773,767
2388,-6056,765
4541,145,764
1599,5467,764
2221,3531,761
-3080,7511,759
-4062,-3246,753
-1671,-7126,753
-7855,-7317,751
8896,9741,750
5200,9918,749
-4552,341,748
-1866,-3253,745
2516,6823,745
4380,-3452,741
1469,-5288,739
-1367,4114,737
-6972,-3246,735
1078,3828,733
9551,9830,733
-918,2277,732
