# 5x5 Slime Pattern Results (Optimized Hensel)
# Format: baseX,baseZ,seed
# 5x5 Slime Pattern Results (Optimized Hensel)
# Format: baseX,baseZ,seed
51069,419124,10358701894766
51069,419124,15959335054446
51069,419124,18914276748398
51069,419124,24514909908078
51069,419124,27469851602030
51069,419124,33070484761710
51069,419124,36025426455662
51069,419124,41626059615342
51069,419124,44581001309294
51069,419124,50181634468974
51069,419124,53136576162926
51069,419124,58737209322606
51069,419124,61692151016558
51069,419124,67292784176238
51069,419124,70247725870190
51069,419124,75848359029870
51069,419124,78803300723822
51069,419124,84403933883502
51069,419124,87358875577454
51069,419124,92959508737134
51069,419124,95914450431086
51069,419124,101515083590766
51069,419124,104470025284718
51069,419124,110070658444398
# 5x5 Slime Pattern Results (Optimized Hensel)
# Format: baseX,baseZ,seed
