# Seed: 413563856
# Pattern: 3x3
# Search radius: 1000000
# chunkX,chunkZ,blockX,blockZ,distance
-2816,-1989,-45056,-31824,2816
4158,-10303,66528,-164848,10303
17796,28094,284736,449504,28094
28974,-2216,463584,-35456,28974
30961,-24125,495376,-386000,30961
-26511,-35594,-424176,-569504,35594
-7171,37535,-114736,600560,37535
9480,-41500,151680,-664000,41500
36580,-42472,585280,-679552,42472
-26768,-43155,-428288,-690480,43155
43540,-19713,696640,-315408,43540
-5127,-43738,-82032,-699808,43738
-38948,-46172,-623168,-738752,46172
-47538,-3642,-760608,-58272,47538
-6503,-47849,-104048,-765584,47849
-49899,-11679,-798384,-186864,49899
-32133,50051,-514128,800816,50051
-50713,-39577,-811408,-633232,50713
-50789,-1506,-812624,-24096,50789
-30135,54195,-482160,867120,54195
-8360,55628,-133760,890048,55628
-58049,-32019,-928784,-512304,58049
8440,-58379,135040,-934064,58379
-58475,-2883,-935600,-46128,58475
-59263,-24181,-948208,-386896,59263
62820,4984,1005120,79744,62820
49955,-62830,799280,-1005280,62830
64581,-65238,1033296,-1043808,65238
-61219,-66405,-979504,-1062480,66405
-33177,66686,-530832,1066976,66686
68579,2655,1097264,42480,68579
-71283,-27385,-1140528,-438160,71283
73580,-62237,1177280,-995792,73580
73942,21550,1183072,344800,73942
14633,75563,234128,1209008,75563
-36068,-77462,-577088,-1239392,77462
79081,-56744,1265296,-907904,79081
-82421,32987,-1318736,527792,82421
-1247,82684,-19952,1322944,82684
-82938,39394,-1327008,630304,82938
-84060,-37930,-1344960,-606880,84060
-84616,23680,-1353856,378880,84616
-34664,84681,-554624,1354896,84681
-86216,-57600,-1379456,-921600,86216
-54611,87728,-873776,1403648,87728
-44034,-88057,-704544,-1408912,88057
-89534,-14350,-1432544,-229600,89534
-59677,89764,-954832,1436224,89764
61656,90738,986496,1451808,90738
-90797,-87999,-1452752,-1407984,90797
-42281,91195,-676496,1459120,91195
51664,-92566,826624,-1481056,92566
-66788,-93417,-1068608,-1494672,93417
94520,84906,1512320,1358496,94520
-95234,-47279,-1523744,-756464,95234
96226,58074,1539616,929184,96226
-30701,-100511,-491216,-1608176,100511
-94493,100689,-1511888,1611024,100689
-54702,-101021,-875232,-1616336,101021
16133,-101280,258128,-1620480,101280
-101784,14385,-1628544,230160,101784
-101884,-33079,-1630144,-529264,101884
40456,102354,647296,1637664,102354
-103102,-21260,-1649632,-340160,103102
-103954,-4590,-1663264,-73440,103954
97133,104330,1554128,1669280,104330
61648,104661,986368,1674576,104661
-105910,49138,-1694560,786208,105910
-106439,43764,-1703024,700224,106439
9515,-106784,152240,-1708544,106784
-18159,-107082,-290544,-1713312,107082
-107618,71348,-1721888,1141568,107618
-109028,-68631,-1744448,-1098096,109028
-109122,3240,-1745952,51840,109122
-39583,-109130,-633328,-1746080,109130
109494,12462,1751904,199392,109494
-70052,110969,-1120832,1775504,110969
-111151,-33377,-1778416,-534032,111151
-111440,-64303,-1783040,-1028848,111440
-62332,111442,-997312,1783072,111442
